NO,시군구,계약년월,거래금액(만원),기간,금값(1g)
112,서울특별시 송파구 오금동,201906,94000,201910,58186
113,서울특별시 송파구 가락동,201906,82000,201910,58092
114,서울특별시 송파구 잠실동,201906,189560,201910,57395
115,서울특별시 송파구 신천동,201906,75000,201910,56783
116,서울특별시 송파구 신천동,201906,170000,201910,56877
117,서울특별시 송파구 잠실동,201906,164000,201910,57009
118,서울특별시 송파구 잠실동,201906,142000,201910,56850
119,서울특별시 송파구 장지동,201906,135000,201910,56588
120,서울특별시 송파구 신천동,201906,183000,201910,56598
121,서울특별시 송파구 방이동,201906,155000,201910,56573
122,서울특별시 송파구 잠실동,201906,190000,201910,56137
123,서울특별시 송파구 잠실동,201906,174000,201910,56112
124,서울특별시 송파구 문정동,201906,145000,201910,56277
125,서울특별시 송파구 장지동,201906,71500,201910,56263
126,서울특별시 송파구 잠실동,201906,188925,201910,56957
127,서울특별시 송파구 문정동,201906,125000,201910,56745
128,서울특별시 송파구 문정동,201906,130000,201910,56705
129,서울특별시 송파구 거여동,201906,52000,201910,56060
130,서울특별시 송파구 잠실동,201906,134000,201910,55807
131,서울특별시 송파구 오금동,201906,79000,201910,56216
132,서울특별시 송파구 방이동,201906,188000,201911,56723
133,서울특별시 송파구 잠실동,201906,170000,201911,56783
134,서울특별시 송파구 가락동,201906,71000,201911,56560
135,서울특별시 송파구 잠실동,201906,195000,201911,56106
136,서울특별시 송파구 문정동,201906,131000,201911,55448
137,서울특별시 송파구 송파동,201906,122000,201911,55404
138,서울특별시 송파구 잠실동,201906,140000,201911,54870
139,서울특별시 송파구 방이동,201906,154000,201911,54422
140,서울특별시 송파구 장지동,201906,81800,201911,55005
141,서울특별시 송파구 잠실동,201906,146000,201911,54306
142,서울특별시 송파구 송파동,201906,123500,201911,54936
143,서울특별시 송파구 송파동,201906,110000,201911,55213
144,서울특별시 송파구 가락동,201906,128000,201911,55061
145,서울특별시 송파구 장지동,201906,95000,201911,55026
146,서울특별시 송파구 방이동,201906,162000,201911,54915
147,서울특별시 송파구 송파동,201906,61900,201911,55270
148,서울특별시 송파구 풍납동,201906,89000,201911,55688
149,서울특별시 송파구 신천동,201906,147000,201911,55767
150,서울특별시 송파구 풍납동,201906,90000,201911,55657
151,서울특별시 송파구 방이동,201906,89000,201911,55620
152,서울특별시 송파구 송파동,201906,120000,201911,55252
153,서울특별시 송파구 가락동,201906,87500,201911,55223
154,서울특별시 송파구 장지동,201906,105000,201911,55268
155,서울특별시 송파구 장지동,201906,108000,201911,55319
156,서울특별시 송파구 잠실동,201906,166000,201911,55437
157,서울특별시 송파구 오금동,201906,89500,201911,55846
158,서울특별시 송파구 가락동,201906,85700,201912,55717
159,서울특별시 송파구 방이동,201906,90000,201912,56032
160,서울특별시 송파구 문정동,201906,175300,201912,57091
161,서울특별시 송파구 방이동,201906,145000,201912,56455
162,서울특별시 송파구 잠실동,201906,165000,201912,56417
163,서울특별시 송파구 잠실동,201906,199425,201912,55786
164,서울특별시 송파구 문정동,201906,165000,201912,56040
165,서울특별시 송파구 거여동,201906,88000,201912,56151
166,서울특별시 송파구 신천동,201906,166000,201912,56365
167,서울특별시 송파구 신천동,201906,125000,201912,56328
168,서울특별시 송파구 잠실동,201906,188500,201912,55517
169,서울특별시 송파구 오금동,201906,97000,201912,55922
170,서울특별시 송파구 신천동,201906,129000,201912,55824
171,서울특별시 송파구 송파동,201906,122000,201912,55470
172,서울특별시 송파구 문정동,201906,120000,201912,55597
173,서울특별시 송파구 잠실동,201906,155000,201912,55334
174,서울특별시 송파구 잠실동,201906,102000,201912,55313
175,서울특별시 송파구 잠실동,201906,130000,201912,55202
176,서울특별시 송파구 오금동,201906,67000,201912,55592
177,서울특별시 송파구 잠실동,201906,142800,201912,55712
178,서울특별시 송파구 송파동,201906,108000,201912,56159
179,서울특별시 송파구 문정동,201906,83000,201912,56209
180,서울특별시 송파구 문정동,201906,109500,201912,56332
181,서울특별시 송파구 문정동,201906,136000,201912,56443
182,서울특별시 송파구 문정동,201906,123000,201912,56400
183,서울특별시 송파구 잠실동,201906,159000,201912,56678
184,서울특별시 송파구 잠실동,201906,136000,202001,56470
185,서울특별시 송파구 문정동,201906,159500,202001,56646
186,서울특별시 송파구 마천동,201906,42000,202001,58038
187,서울특별시 송파구 가락동,201906,130000,202001,58301
